name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 10180 g,Confirmed,0.06733159,,,0.06733159,,,,,,601.2,8.1,8.1,1.422,0.026,0.026,0.19,0.14,0.14,,,,0.036091,2010,2010-12-07,347.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1.0,1.0,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911.0,19.0,19.0,,,
HD 10180 h,Confirmed,0.202624,,,0.202624,,,,,,2222.0,91.0,91.0,3.4,0.11,0.11,0.08,0.07,0.07,,,,0.086294,2010,2010-12-07,174.0,74.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1.0,1.0,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911.0,19.0,19.0,,,
HD 101930 b,Confirmed,0.3,,,0.3,,,,,,70.46,0.18,0.18,0.302,,,0.11,0.02,0.02,,,,0.009905,2005,2014-08-30,251.0,11.0,11.0,2453145.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 101930,175.875,-58.0066667,8.21,,,,,30.49,,,0.17,0.06,0.06,0.74,0.05,0.05,,,,K1 V,5.39,,,5079.0,62.0,62.0,,,
HD 102117 b,Confirmed,0.172,0.018,0.018,0.172,0.018,0.018,,,,20.67,0.04,0.04,0.1532,0.0088,0.0088,0.106,0.07,0.07,,,,0.003648,2004,2014-08-30,283.0,3.0,3.0,2450942.9,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102117,176.2083333,-58.7036111,7.47,,,,,42.0,,,0.3,0.03,0.03,1.03,0.05,0.05,1.27,,,G6V,6.21,,,5672.0,22.0,22.0,,,
HD 102195 b,Confirmed,0.45,,,0.45,,,,,,4.113775,0.00057,0.00057,0.049,,,0.0,0.0,0.0,,,,0.001691,2005,2015-02-26,360.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2453895.96,0.03,0.03,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102195,176.425,2.8213889,8.05,,,,,28.98,1.0,1.0,0.05,0.05,0.05,0.926,0.016,0.016,0.835,0.016,0.016,K0V,2.4,1.8,1.8,5291.0,34.0,34.0,,,
HD 102272 b,Confirmed,5.9,0.2,0.2,5.9,0.2,0.2,,,,127.58,0.3,0.3,0.614,0.001,0.001,0.05,0.04,0.04,,,,0.001706,2008,2008-06-12,118.0,58.0,58.0,52146.5,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102272,176.6,14.1238889,8.71,,6.9,6.4,6.26,360.0,90.0,90.0,0.26,0.08,0.08,1.9,0.3,0.3,10.1,4.6,4.6,K0,,,,4908.0,35.0,35.0,,,
HD 102272 c,Confirmed,2.6,0.4,0.4,2.6,0.4,0.4,,,,520.0,26.0,26.0,1.57,0.05,0.05,0.68,0.06,0.06,,,,0.004361,2008,2008-06-12,320.0,10.0,10.0,54135.5,260.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102272,176.6,14.1238889,8.71,,6.9,6.4,6.26,360.0,90.0,90.0,0.26,0.08,0.08,1.9,0.3,0.3,10.1,4.6,4.6,K0,,,,4908.0,35.0,35.0,,,
HD 102329 b,Confirmed,5.9,0.3,0.3,5.9,0.3,0.3,,,,778.1,7.1,7.1,2.01,0.05,0.05,0.211,0.044,0.044,,,,0.012722,2011,2011-09-02,182.0,10.0,10.0,2455096.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102329,176.6958333,3.4741667,8.04,,,,,158.0,21.0,21.0,0.3,0.03,0.03,1.95,0.14,0.14,6.3,0.1,0.1,,1.6,0.4,0.4,4830.0,44.0,44.0,,,
HD 102365 b,Confirmed,0.05,0.008,0.008,0.05,0.008,0.008,,,,122.1,0.3,0.3,0.46,0.04,0.04,0.34,0.14,0.14,,,,0.049784,2011,2011-01-11,105.0,22.0,22.0,2450129.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102365,176.6291667,-40.5002778,4.89,,,,,9.24,0.06,0.06,-0.28,0.07,0.07,0.85,,,,,,G2V,9.0,3.0,3.0,5650.0,100.0,100.0,IR Excess,,
HD 102956 b,Confirmed,0.96,0.05,0.05,0.96,0.05,0.05,,,,6.495,0.0004,0.0004,0.081,0.002,0.002,0.048,0.027,0.027,,,,0.000643,2010,2010-07-28,12.0,40.0,40.0,2455346.0,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 102956,177.8458333,57.6408333,8.0,,,,,126.0,13.0,13.0,0.19,0.04,0.04,1.68,0.11,0.11,4.4,0.1,0.1,A,2.3,5.0,5.0,5054.0,44.0,44.0,,,
HD 103197 b,Confirmed,0.098,0.006,0.006,0.098,0.006,0.006,,,,47.84,0.03,0.03,0.249,0.004,0.004,0.0,,,,,,0.005051,2009,2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 103197,178.2208333,-50.2927778,9.41,,,,,49.3,3.6,3.6,0.21,0.04,0.04,0.9,,,,,,K1V,9.1,,,5303.0,58.0,58.0,,,
HD 104067 b,Confirmed,0.186,0.014,0.014,0.186,0.014,0.014,,,,55.806,0.049,0.049,0.2643,0.0045,0.0045,0.0,,,,,,0.012707,2009,2011-07-05,,,,,,,,,,,,,,,,,,,,,,2454043.15,0.056,0.056,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 104067,179.7916667,-20.3538889,7.93,,,,,20.8,0.04,0.04,-0.06,0.05,0.05,0.791,0.02,0.02,,,,K2V,4.33,3.99,3.99,4969.0,72.0,72.0,IR Excess,,
HD 104985 b,Confirmed,8.3,,,8.3,,,,,,199.505,0.085,0.085,0.95,,,0.09,0.009,0.009,,,,0.007647,2003,2016-01-22,203.5,5.7,5.7,2451927.5,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 104985,181.3125,76.9055556,5.79,,,,,102.0,,,-0.35,,,1.6,,,10.87,0.36,0.36,G9 III,2.95,0.65,0.65,4786.0,,,,,
HD 106252 b,Confirmed,32.9,25.3,39.5,7.56,,,,,,1600.0,18.0,18.0,2.7,,,0.47,0.028,0.028,166.7,160.2,7.3,0.072115,2002,2015-09-14,292.2,3.2,3.2,51871.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 106252,183.3708333,10.0413889,7.36,,,,,37.44,,,-0.078,,,0.96,,,1.09,,,G0,5.02,,,5754.0,,,,,
HD 106270 b,Confirmed,11.0,0.8,0.8,11.0,0.8,0.8,,,,2890.0,390.0,390.0,4.3,0.4,0.4,0.402,0.054,0.054,,,,0.050648,2011,2011-09-02,15.4,0.4,0.4,2454830.0,390.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 106270,183.4041667,-9.5133333,7.73,,,,,84.9,5.7,5.7,0.08,0.03,0.03,1.32,0.092,0.092,2.5,0.1,0.1,G5,4.3,0.6,0.6,5638.0,44.0,44.0,,,
HD 10647 b,Confirmed,0.93,0.18,0.18,0.93,0.18,0.18,,,,1003.0,56.0,56.0,2.03,0.15,0.15,0.1,0.01,0.01,,,,0.117341,2003,2016-01-14,108.9,8.2,8.2,2453654.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Velocity,,,,,HD 10647,25.6208333,-53.7408333,5.52,,,,,17.3,,,-0.078,,,1.1,,,1.1,,,F8V,4.8,2.2,2.2,6039.0,,,Imaging,,q1 Eri
HD 10697 b,Confirmed,6.83,0.984,3.3,6.38,0.53,0.53,,,,1076.4,2.4,2.4,2.16,0.12,0.12,0.1,0.01,0.01,69.0,26.0,26.0,0.066339,2000,2016-01-14,108.9,8.2,8.2,2451480.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 10697,26.2291667,20.0830556,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.15,0.03,0.03,1.72,0.17,0.17,G5 IV,6.9,0.6,0.6,5641.0,80.0,80.0,,,
HD 107148 b,Confirmed,0.21,0.036,0.036,0.21,0.036,0.036,,,,48.056,0.057,0.057,0.269,0.016,0.016,0.05,0.17,0.17,,,,0.005244,2006,2014-02-13,75.0,,,2439969.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 107148,184.8041667,-3.3197222,8.01,,,,,51.3,2.6,2.6,0.314,,,1.12,,,,,,G5,5.6,,,5797.0,,,,,
HD 108147 b,Confirmed,0.261,0.04,0.04,0.261,0.04,0.04,,,,10.8985,0.0045,0.0045,0.102,0.06,0.06,0.53,0.12,0.12,,,,0.002645,2002,2016-01-15,308.0,24.0,24.0,2450828.86,0.71,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 108147,186.4416667,-64.0219444,6.99,,,,,38.57,,,0.18,,,1.19,,,1.22,,,F8/G0 V,1.98,,,6067.0,,,,,
HD 108863 b,Confirmed,2.6,0.2,0.2,2.6,0.2,0.2,,,,443.4,4.2,4.2,1.4,0.03,0.03,0.1,inf,nan,,,,0.010072,2011,2011-09-02,177.0,60.0,60.0,2455516.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 108863,187.5833333,21.9483333,7.89,,,,,139.0,15.0,15.0,0.2,0.03,0.03,1.85,0.13,0.13,5.6,0.1,0.1,K0,1.8,0.4,0.4,4956.0,44.0,44.0,,,
HD 108874 b,Confirmed,1.36,0.13,0.13,1.36,0.13,0.13,,,,395.4,2.5,2.5,1.051,0.02,0.02,0.07,0.04,0.04,,,,0.015343,2003,2012-08-17,248.4,36.0,36.0,60131.5,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,,,0.14,,,1.0,,,1.22,,,G5,7.26,,,5407.0,,,IR Excess,,
HD 108874 c,Confirmed,1.018,0.3,0.3,1.018,0.3,0.3,,,,1605.8,88.0,88.0,2.68,0.25,0.25,0.25,0.07,0.07,,,,0.039124,2005,2012-08-17,17.3,23.0,23.0,14584.8,180.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,,,0.14,,,1.0,,,1.22,,,G5,7.26,,,5407.0,,,IR Excess,,
HD 109749 b,Confirmed,0.28,0.016,0.016,0.28,0.016,0.016,0.99,,,5.23921,0.000935533,0.000935533,0.0635,,,0.0451,0.025,0.451,,,,0.001076,2005,2015-02-27,72.3,55.8,55.8,2453426.3,,,,,,,,,,,,,,,,,,3013.55,0.14,0.14,28.49,1.12,1.12,,,,,,,,,,Announced on a professional conference,Velocity,Velocity,Theoretical,,,HD 109749,189.3166667,-40.8119444,8.1,,,,,59.0,,,0.25,0.05,0.05,1.2,0.1,0.1,,,,G3 IV,10.3,2.9,2.9,5610.0,,,,,
HD 110014 b,Confirmed,10.7,1.0,1.0,10.7,1.0,1.0,,,,882.6,21.5,21.5,2.31,0.04,0.04,0.26,0.1,0.1,,,,0.023778,2009,2016-09-03,47.72,15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,chi Vir b,,HD 110014,189.8083333,-7.9955556,4.66,,,,,90.0,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,K2III,0.95,0.4,0.4,4445.0,70.0,70.0,,,
HD 113538 c,Confirmed,0.93,0.06,0.06,0.93,0.06,0.06,,,,1818.0,25.0,25.0,2.44,0.07,0.07,0.2,0.04,0.04,,,,0.153797,2010,2015-01-08,280.0,16.0,16.0,2456741.0,31.0,31.0,,,,,,,,,,,,,,,,,,,22.6,0.8,0.8,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,K9V,4.3,4.0,4.0,4462.0,145.0,145.0,,,
HD 114386 b,Confirmed,1.24,,,1.24,,,,,,937.0,15.6,15.6,1.02,,,0.23,0.03,0.03,,,,0.058929,2003,2012-07-24,273.0,14.0,14.0,50454.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 114386,197.6625,-35.0547222,8.73,,,,,28.0,,,0.0,,,0.75,,,0.76,,,K3 V,2.19,,,4819.0,,,,,
HD 114729 b,Confirmed,0.84,,,0.84,,,,,,1135.0,9.0,9.0,2.08,,,0.32,0.18,0.18,,,,0.059429,2002,2016-01-15,73.0,30.0,30.0,2450520.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 114729,198.1833333,-31.8733333,6.69,,,,,35.0,,,-0.22,,,0.93,,,1.46,,,G3 V,4.58,,,5662.0,,,,,
HD 114762 b,Confirmed,10.98,0.09,0.09,10.98,0.09,0.09,,,,83.9151,0.003,0.003,0.353,0.001,0.001,0.3354,0.0048,0.0048,,,,0.008946,1989,2016-01-10,201.28,1.01,1.01,2449889.106,0.186,0.186,,,,2455326.665,0.242,0.242,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 114762,198.0791667,17.5169444,7.3,,,,,39.46,2.86,2.86,-0.71,0.08,0.08,0.84,,,1.24,0.1,0.1,F9V,11.8,3.9,3.9,5934.0,80.0,80.0,,,
HD 114783 b,Confirmed,6.3,3.0,27.0,1.1,0.06,0.06,,,,493.7,1.8,1.8,1.16,0.019,0.019,0.144,0.032,0.032,10.0,8.0,8.0,0.058824,2001,2016-01-22,86.0,11.0,11.0,2453806.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 114783,198.1791667,-2.265,7.57,,,,,20.4,,,0.33,,,0.92,,,0.78,,,K0,3.7,,,5105.0,,,,,
HD 11506 b,Confirmed,3.44,0.47,0.9,3.44,0.47,0.9,,,,1270.0,95.0,95.0,2.43,0.12,0.12,0.22,0.12,0.12,,,,0.045151,2007,2009-02-24,4.5,0.7,0.7,13666.3,102.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,,,0.31,0.03,0.03,1.19,0.1,0.1,1.38,0.15,0.15,G0V,5.4,1.6,1.6,6058.0,51.0,51.0,,,
HD 11506 c,Confirmed,0.82,0.5,0.31,0.82,0.5,0.31,,,,170.46,6.0,6.0,0.639,0.017,0.017,0.42,0.42,0.42,,,,0.011873,2009,2009-02-24,4.1,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,,,0.31,0.03,0.03,1.19,0.1,0.1,1.38,0.15,0.15,G0V,5.4,1.6,1.6,6058.0,51.0,51.0,,,
HD 1160 b,Confirmed,79.0,40.0,65.0,,,,,,,,,,80.0,0.0,0.0,,,,,,,0.772947,2012,2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4.0,4.0,-0.3,,,,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 116029 b,Confirmed,2.1,0.2,0.2,2.1,0.2,0.2,,,,670.2,8.3,8.3,1.73,0.04,0.04,0.21,inf,nan,,,,0.014042,2011,2011-09-02,360.0,100.0,100.0,2455220.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 116029,200.1666667,24.6486111,8.04,,,,,123.2,9.9,9.9,0.18,0.03,0.03,1.58,0.11,0.11,4.6,0.1,0.1,K1III,2.7,0.5,0.5,4951.0,44.0,44.0,,,
HD 117207 b,Confirmed,2.06,,,2.06,,,,,,2627.08,63.51,63.51,3.78,,,0.16,0.05,0.05,,,,0.114545,2004,2010-12-31,81.7,19.9,19.9,2450666.43,148.89,148.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 117207,202.3375,-35.5708333,7.26,,,,,33.0,,,0.27,,,1.07,,,1.09,,,G8VI/V,6.68,2.2,2.2,5432.0,,,,,
HD 117618 b,Confirmed,0.178,0.02,0.02,0.178,0.02,0.02,,,,25.827,0.02,0.02,0.176,0.01,0.01,0.42,0.02,0.02,,,,0.004632,2004,2016-01-15,245.0,19.0,19.0,2450832.2,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38.0,,,0.04,,,1.05,,,1.19,,,G2V,3.88,,,5861.0,,,,,
HD 118203 b,Confirmed,2.14,,,2.14,,,1.05,,,6.13322,0.00129898,0.00129898,0.07,,,0.2943,0.0298,0.0342,,,,0.00079,2005,2015-08-17,332.7,5.5,5.5,2453351.2,,,,,,,,,,,,,,,,,,,,,213.75,6.67,6.67,,,,,,,,,,Submitted to a professional journal,Velocity,Velocity,Theoretical,,,HD 118203,203.5083333,53.7283333,8.05,,,,,88.6,,,0.1,0.05,0.05,1.23,0.03,0.03,,,,K0,4.6,0.8,0.8,5600.0,150.0,150.0,,,
HD 11964 b,Confirmed,0.622,0.056,0.056,0.622,0.056,0.056,,,,1945.0,26.0,26.0,3.16,0.19,0.19,0.041,0.017,0.017,,,,0.092996,2005,2014-02-13,155.0,,,2454170.0,380.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248.0,,,,,
HD 11964 c,Confirmed,0.079,0.01,0.01,0.079,0.01,0.01,,,,37.91,0.041,0.041,0.229,0.013,0.013,0.3,0.17,0.17,,,,0.006739,2005,2014-02-13,102.0,,,2454370.0,180.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248.0,,,,,
HD 11977 b,Confirmed,6.29,0.7,0.7,6.29,0.7,0.7,,,,711.0,8.0,8.0,1.89,0.11,0.1,0.4,0.07,0.07,,,,0.029023,2005,2016-01-21,351.5,9.5,9.5,2451420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 11977,28.7333333,-67.6472222,4.7,,,,,66.5,2.1,2.1,-0.21,0.1,0.1,1.91,0.21,0.21,13.0,,,G8.5 III,1.25,0.75,0.75,4975.0,,,,,
HD 121504 b,Confirmed,1.22,,,1.22,,,,,,63.33,0.03,0.03,0.33,,,0.03,0.01,0.01,,,,0.007437,2003,2009-10-06,265.0,12.0,12.0,51450.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 121504,209.3208333,-56.04,7.54,,,,,44.37,,,0.16,,,1.18,,,,,,G2 V,1.62,,,6075.0,,,,,
HD 125595 b,Confirmed,0.042,0.004,0.004,0.042,0.004,0.004,,,,9.6737,0.0039,0.0039,0.0809,0.0014,0.0014,0.0,,,,,,0.002953,2009,2011-07-05,,,,,,,,,,,,,,,,,,,,,,2454435.23,0.15,0.15,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 125595,215.3458333,-40.3938889,9.03,,,,,27.4,0.9,0.9,0.02,0.06,0.06,0.756,0.017,0.017,,,,K4V,3.53,3.53,3.53,4908.0,,,,,
HD 125612 b,Confirmed,3.0,,,3.0,,,,,,502.0,14.0,14.0,1.37,,,0.46,0.01,0.01,,,,0.025937,2007,2010-12-06,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
HD 125612 c,Confirmed,0.058,,,0.058,,,,,,4.1547,0.0005,0.0005,0.05,,,0.27,0.12,0.12,,,,0.000947,2009,2010-12-06,103.0,23.0,23.0,54420.17,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
HD 125612 d,Confirmed,7.2,,,7.2,,,,,,3008.0,202.0,202.0,4.2,,,0.28,0.12,0.12,,,,0.079515,2009,2010-12-06,284.0,8.0,8.0,57174.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
HD 126525 b,Confirmed,0.224,0.0182,0.0182,0.224,0.0182,0.0182,,,,948.12,21.966,21.966,1.8105,0.0411,0.0411,0.13,0.07,0.07,,,,0.04752,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 126525,216.8875,-51.9330556,7.85,,,,,38.1,1.0,1.0,,,,,,,,,,G4V,,,,,,,,,
HD 12661 b,Confirmed,2.3,,,2.3,,,,,,263.6,1.2,1.2,0.83,,,0.377,0.008,0.008,,,,0.022336,2000,2014-02-13,296.0,1.5,1.5,2454152.76,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742.0,,,,,
HD 12661 c,Confirmed,1.57,,,1.57,,,,,,1708.0,14.0,14.0,2.56,,,0.031,0.022,0.022,,,,0.068891,2002,2014-02-13,165.0,,,2446153.76,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742.0,,,,,
HD 126614 b,Confirmed,0.38,0.04,0.04,0.38,0.04,0.04,,,,1244.0,17.0,17.0,2.35,0.02,0.02,0.41,0.1,0.1,,,,0.032459,2010,2014-08-30,243.0,19.0,19.0,2453808.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 126614,216.7,-5.1777778,8.81,,,,,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,K0,7.2,2.0,2.0,5585.0,44.0,44.0,,,
HD 128311 b,Confirmed,2.18,0.022,0.022,2.18,0.022,0.022,,,,448.6,6.8,6.8,1.099,0.04,0.04,0.25,0.1,0.1,,,,0.066205,2002,2011-01-04,110.9,36.0,36.0,2450210.9,76.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 128311,219.0,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965.0,,,IR Excess,,
HD 128311 c,Confirmed,4.19,0.83,1.27,3.21,0.3,0.3,,,,919.0,,,1.76,0.13,0.13,0.17,0.09,0.09,50.0,10.0,10.0,0.106024,2005,2011-05-11,195.5,150.0,150.0,2450012.2,401.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 128311,219.0,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965.0,,,IR Excess,,
HD 129445 b,Confirmed,1.6,0.6,0.6,1.6,0.6,0.6,,,,1840.0,55.0,55.0,2.9,0.2,0.2,0.7,0.1,0.1,,,,0.042893,2010,2014-08-27,163.0,15.0,15.0,2453093.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 129445,221.5125,-68.7625,8.8,,,,,67.61,5.1,5.1,0.25,,,0.99,,,,,,G8V,,,,,,,,,
HD 130322 b,Confirmed,1.05,0.0312,0.773,1.02,,,,,,10.72,0.07,0.07,0.088,,,0.044,0.018,0.018,76.0,42.0,42.0,0.002933,1999,2010-12-08,203.63,23.14,23.14,51287.38,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 130322,221.8875,0.2813889,8.05,,,,,30.0,,,-0.02,,,0.79,,,0.83,,,K0 V,0.35,,,5330.0,,,IR Excess,,
